0,0,16,16
16,0,32,16
32,0,48,16
48,0,64,16
64,0,80,16
96,0,112,16
112,0,128,16
128,0,144,16
144,0,160,16
160,0,176,16
192,0,208,16
208,0,224,16
224,0,240,16
240,0,256,16
272,0,288,16
288,0,304,16
304,0,320,16
0,16,16,32
16,16,32,32
32,16,48,32
48,16,64,32
64,16,80,32
96,16,112,32
112,16,128,32
128,16,144,32
144,16,160,32
160,16,176,32
192,16,208,32
208,16,224,32
224,16,240,32
240,16,256,32
272,16,288,32
288,16,304,32
304,16,320,32
0,32,16,48
16,32,32,48
32,32,48,48
96,32,112,48
112,32,128,48
128,32,144,48
208,32,224,48
224,32,240,48
240,32,256,48
272,32,288,48
288,32,304,48
304,32,320,48
0,64,16,80
16,64,32,80
32,64,48,80
48,64,64,80
64,64,80,80
96,64,112,80
112,64,128,80
128,64,144,80
144,64,160,80
160,64,176,80
192,64,208,80
208,64,224,80
224,64,240,80
240,64,256,80
272,64,288,80
288,64,304,80
304,64,320,80
320,64,336,80
336,64,352,80
0,80,16,96
16,80,32,96
32,80,48,96
48,80,64,96
64,80,80,96
96,80,112,96
112,80,128,96
128,80,144,96
144,80,160,96
160,80,176,96
192,80,208,96
208,80,224,96
224,80,240,96
240,80,256,96
272,80,288,96
288,80,304,96
304,80,320,96
320,80,336,96
336,80,352,96
0,96,16,112
16,96,32,112
32,96,48,112
96,96,112,112
112,96,128,112
128,96,144,112
208,96,224,112
224,96,240,112
240,96,256,112
272,96,288,112
288,96,304,112
304,96,320,112
0,128,16,144
16,128,32,144
32,128,48,144
48,128,64,144
64,128,80,144
96,128,112,144
112,128,128,144
128,128,144,144
144,128,160,144
160,128,176,144
192,128,208,144
208,128,224,144
224,128,240,144
240,128,256,144
272,128,288,144
288,128,304,144
304,128,320,144
320,128,336,144
0,144,16,160
16,144,32,160
32,144,48,160
48,144,64,160
64,144,80,160
96,144,112,160
112,144,128,160
128,144,144,160
144,144,160,160
160,144,176,160
192,144,208,160
208,144,224,160
224,144,240,160
240,144,256,160
272,144,288,160
288,144,304,160
304,144,320,160
320,144,336,160
0,160,16,176
16,160,32,176
32,160,48,176
96,160,112,176
112,160,128,176
128,160,144,176
208,160,224,176
224,160,240,176
240,160,256,176
288,160,304,176
304,160,320,176
320,160,336,176
